1851632;Shuzenji;JP;34.9667;138.9333;
1519225200.0;8.36;overcast clouds;804;
1519236000.0;7.8;few clouds;801;
1519246800.0;7.41;scattered clouds;802;
1519257600.0;7.0;light rain;500;
1519268400.0;6.57;light rain;500;
1519279200.0;7.09;light rain;500;
1519290000.0;7.83;light rain;500;
1519300800.0;8.19;scattered clouds;802;
1519311600.0;8.39;broken clouds;803;
1519322400.0;7.8;light rain;500;
1519333200.0;6.75;light rain;500;
1519344000.0;6.56;light rain;500;
1519354800.0;8.25;light rain;500;
1519365600.0;11.13;clear sky;800;
1519376400.0;12.13;clear sky;800;
1519387200.0;11.7;clear sky;800;
1519398000.0;10.69;clear sky;800;
1519408800.0;9.9;clear sky;800;
1519419600.0;8.64;clear sky;800;
1519430400.0;7.96;clear sky;800;
1519441200.0;8.43;clear sky;800;
1519452000.0;10.49;clear sky;800;
1519462800.0;11.91;clear sky;800;
1519473600.0;11.39;clear sky;800;
1519484400.0;9.82;clear sky;800;
1519495200.0;8.19;few clouds;801;
1519506000.0;7.22;broken clouds;803;
1519516800.0;7.09;broken clouds;803;
1519527600.0;7.68;clear sky;800;
1519538400.0;8.36;scattered clouds;802;
1519549200.0;8.9;broken clouds;803;
1519560000.0;8.49;light rain;500;
1519570800.0;6.77;moderate rain;501;
1519581600.0;6.09;moderate rain;501;
1519592400.0;5.8;moderate rain;501;
1519603200.0;6.62;moderate rain;501;
1519614000.0;6.74;light rain;500;
1519624800.0;7.07;light rain;500;
1519635600.0;7.44;light rain;500;
1519646400.0;7.42;clear sky;800;
